scenario,repetition,turn_index,attachment_size_kb,enriched_transcript_tokens,context_total_tokens,messages_in_window,latency_ms,cost_usd,cache_hit,input_tokens,output_tokens,fact_recall
growing,1,1,0,59,2187,0,4627,0.000517,False,2187,315,
growing,1,2,0,38,2632,2,4508,0.000587,False,2632,321,0.0
growing,1,3,0,41,3052,4,3963,0.000665,False,3052,346,0.0
growing,1,4,0,55,3508,6,3671,0.000721,False,3508,324,0.0
growing,1,5,0,55,3956,8,3505,0.000784,False,3956,317,0.0
growing,1,6,0,49,4390,10,4013,0.000857,False,4390,331,0.0
growing,1,7,0,61,4814,12,4076,0.000928,False,4814,344,0.0
growing,1,8,0,53,5088,12,4116,0.000977,False,5088,357,0.0
growing,1,9,0,54,5243,12,5632,0.000988,False,5243,336,0.0
growing,1,10,0,52,5410,12,3671,0.001016,False,5410,341,0.0
growing,1,11,0,53,5518,12,5439,0.001031,False,5518,339,0.0
growing,1,12,0,57,5597,12,3848,0.001041,False,5597,336,0.0
growing,1,13,0,53,5290,12,4721,0.000987,False,5290,323,0.0
growing,1,14,0,52,5353,12,3599,0.001005,False,5353,337,0.0
growing,1,15,0,51,5368,12,5863,0.001011,False,5368,343,0.0
growing,1,16,0,58,5514,12,4625,0.001023,False,5514,327,0.0
growing,1,17,0,60,5985,12,4500,0.001101,False,5985,338,0.0
growing,1,18,0,58,6118,12,4815,0.001112,False,6118,323,0.0
growing,1,19,0,54,6151,12,4396,0.001133,False,6151,350,0.0
growing,1,20,0,56,6321,12,4603,0.001164,False,6321,360,0.0
growing,2,1,0,59,2187,0,1591,0.000388,False,2187,100,
growing,2,2,0,38,2402,2,1554,0.000421,False,2402,102,0.0
growing,2,3,0,41,2571,4,1651,0.000453,False,2571,112,0.0
growing,2,4,0,55,2793,6,2460,0.000484,False,2793,108,0.0
growing,2,5,0,55,2980,8,1887,0.000511,False,2980,106,0.0
growing,2,6,0,49,3165,10,1637,0.000541,False,3165,111,0.0
growing,2,7,0,61,3369,12,2048,0.000568,False,3369,104,0.0
growing,2,8,0,53,3491,12,1938,0.000594,False,3491,117,0.0
growing,2,9,0,54,3543,12,2960,0.000599,False,3543,113,0.0
growing,2,10,0,52,3671,12,2058,0.000617,False,3671,110,0.0
growing,2,11,0,53,3749,12,2297,0.000628,False,3749,110,0.0
growing,2,12,0,57,3803,12,2018,0.000633,False,3803,105,0.0
growing,2,13,0,53,3817,12,2215,0.000638,False,3817,109,0.0
growing,2,14,0,52,3855,12,1947,0.000645,False,3855,111,0.0
growing,2,15,0,51,3932,12,3781,0.000654,False,3932,107,0.0
growing,2,16,0,58,3975,12,1799,0.000656,False,3975,99,0.0
growing,2,17,0,60,4163,12,1758,0.000691,False,4163,111,0.0
growing,2,18,0,58,4212,12,2664,0.000694,False,4212,104,0.0
growing,2,19,0,54,4234,12,2185,0.0007,False,4234,108,0.0
growing,2,20,0,56,4282,12,2000,0.000709,False,4282,111,0.0
growing,3,1,0,59,2187,0,4521,0.000522,False,2187,323,
growing,3,2,0,38,2641,2,3665,0.000601,False,2641,341,0.0
growing,3,3,0,41,3081,4,4913,0.000672,False,3081,350,0.0
growing,3,4,0,55,3541,6,4331,0.000745,False,3541,356,0.0
growing,3,5,0,55,4019,8,4969,0.000809,False,4019,343,0.0
growing,3,6,0,49,4482,10,4583,0.000876,False,4482,340,0.0
growing,3,7,0,61,4952,12,6918,0.000955,False,4952,353,0.0
growing,3,8,0,53,5129,12,4644,0.000979,False,5129,350,0.0
growing,3,9,0,54,5226,12,4783,0.000995,False,5226,352,0.0
growing,3,10,0,52,5406,12,4416,0.001009,False,5406,330,0.0
growing,3,11,0,53,5427,12,5769,0.001024,False,5427,350,0.0
growing,3,12,0,57,5208,12,7635,0.001001,False,5208,366,0.0
growing,3,13,0,53,5325,12,4031,0.001003,False,5325,340,0.0
growing,3,14,0,52,5391,12,3859,0.001014,False,5391,342,0.0
growing,3,15,0,51,5472,12,4667,0.001032,False,5472,352,0.0
growing,3,16,0,58,5564,12,4781,0.00104,False,5564,343,0.0
growing,3,17,0,60,5741,12,5042,0.001073,False,5741,353,0.0
growing,3,18,0,58,5869,12,4255,0.001076,False,5869,326,0.0
growing,3,19,0,54,5966,12,4003,0.001097,False,5966,337,0.0
growing,3,20,0,56,6171,12,5080,0.001133,False,6171,346,0.0
growing,1,1,5,1765,3831,0,4625,0.000803,False,3831,381,
growing,1,2,0,38,4287,2,4296,0.000844,False,4287,335,0.0
growing,1,3,0,41,4720,4,33752,0.000908,False,4720,334,0.0
growing,1,4,0,55,5145,6,3927,0.000974,False,5145,337,1.0
growing,1,5,0,55,5610,8,4374,0.001038,False,5610,328,0.0
growing,1,6,0,49,6059,10,4195,0.001103,False,6059,324,0.0
growing,1,7,0,61,6520,12,4445,0.001177,False,6520,331,0.0
growing,1,8,0,53,6984,12,4575,0.001256,False,6984,348,0.0
growing,1,9,0,54,7282,12,5046,0.001301,False,7282,347,0.0
growing,1,10,0,52,7509,12,4190,0.001321,False,7509,324,0.0
growing,1,11,0,53,7491,12,5349,0.00132,False,7491,327,0.0
growing,1,12,0,57,7514,12,7340,0.001324,False,7514,328,0.0
growing,1,13,0,53,7613,12,5501,0.001338,False,7613,326,0.0
growing,1,14,0,52,7274,12,4440,0.001283,False,7274,320,0.0
growing,1,15,0,51,7441,12,3996,0.001309,False,7441,322,0.0
growing,1,16,0,58,7537,12,3555,0.001315,False,7537,307,0.0
growing,1,17,0,60,7987,12,4136,0.001395,False,7987,328,0.0
growing,1,18,0,58,8130,12,3454,0.001406,False,8130,311,0.0
